time_ms,light_sensor
15156833,636
15157358,638
15157884,637
15158409,635
15158934,636
15159459,636
15159985,637
15160510,636
15161035,636
15161561,637
15162086,636
15162614,636
15163140,637
15163665,636
15164190,636
15164715,636
15165241,634
15165766,636
15166291,636
15166816,636
15167342,635
15167867,636
15168395,636
15168921,636
15169446,636
15169971,637
15170497,636
15171022,636
15171547,635
15172072,636
15172597,636
15173122,640
15173648,636
15174173,636
15174702,636
15175227,636
15175752,636
15176277,635
15176802,637
15177328,636
15177853,636
15178378,636
15178903,637
15179428,635
15179953,635
15180482,636
15181007,636
15181532,635
15182057,636
15182583,636
15183108,634
15183633,635
15184158,636
15184683,635
15185209,636
15185734,636
15186263,636
15186788,636
15187313,636
15187839,636
15188364,636
15188890,638
15189415,636
15189940,635
15190465,636
15190991,636
15191516,636
15192045,636
15192570,636
15193096,635
15193621,635
15194146,635
15194672,635
15195197,636
15195723,635
15196248,640
15196773,636
15197298,635
15197828,636
15198353,636
15198878,635
15199403,636
15199929,636
15200454,635
15200980,636
15201505,636
15202030,636
15202556,634
15203081,635
15203610,635
15204135,635
15204661,633
15205186,635
15205711,640
15206236,635
15206762,635
15207287,636
15207813,635
15208338,635
15208863,635
15209392,635
15209918,636
15210443,634
15210968,636
15211494,636
15212019,635
15212544,636
15213070,639
15213595,635
15214120,635
15214646,634
15215174,636
15215700,636
15216225,635
15216751,636
15217276,634
15217801,635
15218327,634
15218852,635
15219378,635
15219903,636
15220428,635
15220953,634
15221482,636
15222008,635
