time,time_ms,quality_sensor
2021-02-28 17:20:19,674633,50.0
2021-02-28 17:20:20,675656,50.0
2021-02-28 17:20:21,676676,51.0
2021-02-28 17:20:22,677696,50.0
2021-02-28 17:20:23,678715,50.0
2021-02-28 17:20:24,679735,50.0
2021-02-28 17:20:25,680759,50.0
2021-02-28 17:20:26,681778,49.0
2021-02-28 17:20:27,682798,49.0
2021-02-28 17:20:28,683818,49.0
2021-02-28 17:20:29,684838,49.0
2021-02-28 17:20:30,685861,51.0
2021-02-28 17:20:31,686881,49.0
2021-02-28 17:20:32,687901,49.0
2021-02-28 17:20:33,688921,48.0
2021-02-28 17:20:34,689940,50.0
2021-02-28 17:20:35,690964,49.0
2021-02-28 17:20:36,691984,49.0
2021-02-28 17:20:37,693003,49.0
2021-02-28 17:20:38,694023,49.0
2021-02-28 17:20:39,695043,49.0
2021-02-28 17:20:40,696066,49.0
2021-02-28 17:20:41,697086,49.0
2021-02-28 17:20:42,698106,49.0
2021-02-28 17:20:43,699126,48.0
2021-02-28 17:20:44,700149,50.0
2021-02-28 17:20:46,701169,50.0
2021-02-28 17:20:47,702189,49.0
2021-02-28 17:20:48,703208,50.0
2021-02-28 17:20:49,704228,48.0
2021-02-28 17:20:50,705251,48.0
2021-02-28 17:20:51,706271,48.0
2021-02-28 17:20:52,707290,47.0
2021-02-28 17:20:53,708310,47.0
